Idusuario,Deslogin,Dessenha,Dtcadastro
6,aluno,@lun0,2017-07-11 18:08:46
7,aluno,@lun0,2017-07-11 18:09:21
8,aluno,@lun0,2017-07-11 18:12:43
9,aluno,@lun0,2017-07-11 18:12:44
10,aluno,@lun0,2017-07-11 18:12:45
11,aluno,@lun0,2017-07-11 18:12:45
12,aluno,@lun0,2017-07-11 18:27:04
13,aluno,@lun0,2017-07-11 18:27:05
14,aluno,@lun0,2017-07-11 18:27:24
15,aluno,@lun0,2017-07-11 18:39:33
16,aluno,@lun0,2017-07-11 18:45:46
3,carlos,!@#$,2017-06-08 17:07:48
5,joao,123,2017-07-11 15:18:57
4,Lucas,1234567890,2017-07-10 12:01:20
